scientific_name,common_name
platycercus icterotis,western rosella
northiella haematogaster,greater bluebonnet
northiella narethae,naretha bluebonnet
psephotus haematonotus,red-rumped parrot
psephotus varius,mulga parrot
psephotus dissimilis,hooded parrot
psephotus chrysopterygius,golden-shouldered parrot
psephotus pulcherrimus,paradise parrot
cyclopsitta gulielmitertii,orange-breasted fig-parrot
cyclopsitta diophthalma,double-eyed fig-parrot
psittaculirostris desmarestii,large fig-parrot
psittaculirostris edwardsii,edwards's fig-parrot
psittaculirostris salvadorii,salvadori's fig-parrot
bolbopsittacus lunulatus,guaiabero
melopsittacus undulatus,budgerigar
oreopsittacus arfaki,plum-faced lorikeet
charminetta wilhelminae,pygmy lorikeet
hypocharmosyna rubronotata,red-fronted lorikeet
hypocharmosyna placentis,red-flanked lorikeet
charmosynopsis toxopei,blue-fronted lorikeet
charmosynopsis pulchella,fairy lorikeet
synorhacma multistriata,striated lorikeet
charmosyna josefinae,josephine's lorikeet
charmosyna papou,papuan lorikeet
charmosynoides margarethae,duchess lorikeet
vini meeki,meek's lorikeet
vini diadema,new caledonian lorikeet
vini rubrigularis,red-chinned lorikeet
vini palmarum,palm lorikeet
vini amabilis,red-throated lorikeet
vini solitaria,collared lory
vini australis,blue-crowned lorikeet
vini ultramarina,ultramarine lorikeet
vini stepheni,stephen's lorikeet
vini kuhlii,kuhl's lorikeet
vini peruviana,blue lorikeet
neopsittacus musschenbroekii,yellow-billed lorikeet
neopsittacus pullicauda,orange-billed lorikeet
lorius albidinucha,white-naped lory
lorius chlorocercus,yellow-bibbed lory
lorius garrulus,chattering lory
lorius domicella,purple-naped lory
lorius hypoinochrous,purple-bellied lory
lorius lory,black-capped lory
psitteuteles versicolor,varied lorikeet
parvipsitta pusilla,little lorikeet
parvipsitta porphyrocephala,purple-crowned lorikeet
pseudeos fuscata,dusky lory
pseudeos cardinalis,cardinal lory
chalcopsitta duivenbodei,brown lory
chalcopsitta atra,black lory
chalcopsitta scintillata,yellow-streaked lory
glossoptilus goldiei,goldie's lorikeet
glossopsitta concinna,musk lorikeet
saudareos johnstoniae,mindanao lorikeet
saudareos iris,iris lorikeet
saudareos ornatus,ornate lorikeet
saudareos meyeri,yellow-cheeked lorikeet
saudareos flavoviridis,sula lorikeet
eos reticulata,blue-streaked lory
eos semilarvata,blue-eared lory
eos bornea,red lory
eos cyanogenia,black-winged lory
eos histrio,red-and-blue lory
eos squamata,violet-necked lory
trichoglossus rubiginosus,pohnpei lorikeet
trichoglossus chlorolepidotus,scaly-breasted lorikeet
trichoglossus haematodus,coconut lorikeet
trichoglossus moluccanus,rainbow lorikeet
trichoglossus rubritorquis,red-collared lorikeet
trichoglossus euteles,olive-headed lorikeet
trichoglossus capistratus,marigold lorikeet
trichoglossus weberi,leaf lorikeet
trichoglossus forsteni,sunset lorikeet
loriculus vernalis,vernal hanging-parrot
loriculus beryllinus,sri lanka hanging-parrot
loriculus philippensis,philippine hanging-parrot
loriculus camiguinensis,camiguin hanging-parrot
loriculus galgulus,blue-crowned hanging-parrot
loriculus stigmatus,sulawesi hanging-parrot
loriculus sclateri,sula hanging-parrot
loriculus amabilis,moluccan hanging-parrot
loriculus catamene,sangihe hanging-parrot
loriculus aurantiifrons,papuan hanging-parrot
loriculus tener,green-fronted hanging-parrot
loriculus exilis,pygmy hanging-parrot
loriculus pusillus,yellow-throated hanging-parrot
loriculus flosculus,wallace's hanging-parrot
agapornis swindernianus,black-collared lovebird
agapornis canus,gray-headed lovebird
agapornis pullarius,red-headed lovebird
agapornis taranta,black-winged lovebird
agapornis roseicollis,rosy-faced lovebird
agapornis fischeri,fischer's lovebird
agapornis personatus,yellow-collared lovebird
agapornis lilianae,lilian's lovebird
agapornis nigrigenis,black-cheeked lovebird
psittacus erithacus,gray parrot
poicephalus fuscicollis,brown-necked parrot
poicephalus robustus,cape parrot
poicephalus gulielmi,red-fronted parrot
poicephalus meyeri,meyer's parrot
poicephalus rueppellii,rã¼ppell's parrot
poicephalus cryptoxanthus,brown-headed parrot
poicephalus crassus,niam-niam parrot
poicephalus rufiventris,red-bellied parrot
poicephalus senegalus,senegal parrot
poicephalus flavifrons,yellow-fronted parrot
touit batavicus,lilac-tailed parrotlet
touit huetii,scarlet-shouldered parrotlet
touit costaricensis,red-fronted parrotlet
touit dilectissimus,blue-fronted parrotlet
touit purpuratus,sapphire-rumped parrotlet
touit melanonotus,brown-backed parrotlet
touit surdus,golden-tailed parrotlet
touit stictopterus,spot-winged parrotlet
psilopsiagon aymara,gray-hooded parakeet
psilopsiagon aurifrons,mountain parakeet
bolborhynchus lineola,barred parakeet
bolborhynchus ferrugineifrons,rufous-fronted parakeet
bolborhynchus orbygnesius,andean parakeet
nannopsittaca panychlora,tepui parrotlet
nannopsittaca dachilleae,amazonian parrotlet
myiopsitta monachus,monk parakeet
brotogeris sanctithomae,tui parakeet
brotogeris tirica,plain parakeet
brotogeris versicolurus,white-winged parakeet
brotogeris chiriri,yellow-chevroned parakeet
brotogeris pyrrhoptera,gray-cheeked parakeet
brotogeris jugularis,orange-chinned parakeet
brotogeris cyanoptera,cobalt-winged parakeet
brotogeris chrysoptera,golden-winged parakeet
pionopsitta pileata,pileated parrot
triclaria malachitacea,blue-bellied parrot
hapalopsittaca amazonina,rusty-faced parrot
hapalopsittaca fuertesi,indigo-winged parrot
hapalopsittaca pyrrhops,red-faced parrot
hapalopsittaca melanotis,black-winged parrot
pyrilia haematotis,brown-hooded parrot
pyrilia pulchra,rose-faced parrot
pyrilia pyrilia,saffron-headed parrot
pyrilia barrabandi,orange-cheeked parrot
pyrilia caica,caica parrot
pyrilia aurantiocephala,bald parrot
pyrilia vulturina,vulturine parrot
pionus fuscus,dusky parrot
pionus sordidus,red-billed parrot
pionus maximiliani,scaly-headed parrot
pionus tumultuosus,speckle-faced parrot
pionus menstruus,blue-headed parrot
pionus senilis,white-crowned parrot
pionus chalcopterus,bronze-winged parrot
graydidascalus brachyurus,short-tailed parrot
alipiopsitta xanthops,yellow-faced parrot
amazona festiva,festive parrot
amazona vinacea,vinaceous-breasted parrot
amazona tucumana,tucuman parrot
amazona pretrei,red-spectacled parrot
amazona viridigenalis,red-crowned parrot
amazona finschi,lilac-crowned parrot
amazona autumnalis,red-lored parrot
amazona dufresniana,blue-cheeked parrot
amazona rhodocorytha,red-browed parrot
amazona arausiaca,red-necked parrot
amazona martinicana,martinique parrot
amazona versicolor,st. lucia parrot
amazona auropalliata,yellow-naped parrot
amazona oratrix,yellow-headed parrot
amazona ochrocephala,yellow-crowned parrot
amazona barbadensis,yellow-shouldered parrot
amazona aestiva,turquoise-fronted parrot
amazona agilis,black-billed parrot
amazona albifrons,white-fronted parrot
amazona xantholora,yellow-lored parrot
amazona collaria,yellow-billed parrot
amazona leucocephala,cuban parrot
amazona ventralis,hispaniolan parrot
amazona vittata,puerto rican parrot
amazona farinosa,mealy parrot
amazona kawalli,kawall's parrot
amazona imperialis,imperial parrot
amazona violacea,guadeloupe parrot
amazona brasiliensis,red-tailed parrot
amazona guildingii,st. vincent parrot
amazona amazonica,orange-winged parrot
amazona mercenarius,scaly-naped parrot
forpus modestus,dusky-billed parrotlet
forpus cyanopygius,mexican parrotlet
forpus crassirostris,riparian parrotlet
forpus xanthopterygius,cobalt-rumped parrotlet
forpus passerinus,green-rumped parrotlet
forpus conspicillatus,spectacled parrotlet
forpus coelestis,pacific parrotlet
forpus xanthops,yellow-faced parrotlet
pionites melanocephalus,black-headed parrot
pionites leucogaster,white-bellied parrot
deroptyus accipitrinus,red-fan parrot
pyrrhura cruentata,ochre-marked parakeet
pyrrhura devillei,blaze-winged parakeet
pyrrhura frontalis,maroon-bellied parakeet
pyrrhura lepida,pearly parakeet
pyrrhura perlata,crimson-bellied parakeet
pyrrhura molinae,green-cheeked parakeet
pyrrhura pfrimeri,pfrimer's parakeet
pyrrhura griseipectus,gray-breasted parakeet
pyrrhura leucotis,maroon-faced parakeet
pyrrhura picta,painted parakeet
pyrrhura amazonum,santarem parakeet
pyrrhura lucianii,bonaparte's parakeet
pyrrhura roseifrons,rose-fronted parakeet
pyrrhura viridicata,santa marta parakeet
pyrrhura egregia,fiery-shouldered parakeet
pyrrhura melanura,maroon-tailed parakeet
pyrrhura orcesi,el oro parakeet
pyrrhura rupicola,black-capped parakeet
pyrrhura albipectus,white-necked parakeet
pyrrhura calliptera,brown-breasted parakeet
pyrrhura hoematotis,red-eared parakeet
pyrrhura rhodocephala,rose-headed parakeet
pyrrhura hoffmanni,sulphur-winged parakeet
enicognathus ferrugineus,austral parakeet
enicognathus leptorhynchus,slender-billed parakeet
cyanoliseus patagonus,burrowing parakeet
anodorhynchus hyacinthinus,hyacinth macaw
anodorhynchus glaucus,glaucous macaw
anodorhynchus leari,indigo macaw
rhynchopsitta pachyrhyncha,thick-billed parrot
rhynchopsitta terrisi,maroon-fronted parrot
eupsittula nana,olive-throated parakeet
eupsittula canicularis,orange-fronted parakeet
eupsittula aurea,peach-fronted parakeet
eupsittula pertinax,brown-throated parakeet
eupsittula cactorum,cactus parakeet
conuropsis carolinensis,carolina parakeet
aratinga weddellii,dusky-headed parakeet
aratinga nenday,nanday parakeet
aratinga solstitialis,sun parakeet
aratinga maculata,sulphur-breasted parakeet
aratinga jandaya,jandaya parakeet
aratinga auricapillus,golden-capped parakeet
orthopsittaca manilatus,red-bellied macaw
primolius maracana,blue-winged macaw
primolius couloni,blue-headed macaw
primolius auricollis,yellow-collared macaw
ara ararauna,blue-and-yellow macaw
ara glaucogularis,blue-throated macaw
ara severus,chestnut-fronted macaw
ara tricolor,cuban macaw
ara rubrogenys,red-fronted macaw
ara militaris,military macaw
ara ambiguus,great green macaw
ara macao,scarlet macaw
ara chloropterus,red-and-green macaw
leptosittaca branickii,golden-plumed parakeet
ognorhynchus icterotis,yellow-eared parrot
guaruba guarouba,golden parakeet
thectocercus acuticaudatus,blue-crowned parakeet
diopsittaca nobilis,red-shouldered macaw
psittacara holochlorus,green parakeet
psittacara brevipes,socorro parakeet
psittacara strenuus,pacific parakeet
psittacara finschi,crimson-fronted parakeet
psittacara wagleri,scarlet-fronted parakeet
psittacara mitratus,mitred parakeet
psittacara erythrogenys,red-masked parakeet
psittacara leucophthalmus,white-eyed parakeet
psittacara euops,cuban parakeet
psittacara chloropterus,hispaniolan parakeet
psittacara maugei,puerto rican parakeet
psittacara labati,guadeloupe parakeet
traversia lyalli,stephens island wren
acanthisitta chloris,rifleman
xenicus longipes,bush wren
xenicus gilviventris,south island wren
smithornis capensis,african broadbill
smithornis sharpei,gray-headed broadbill
smithornis rufolateralis,rufous-sided broadbill
calyptomena viridis,green broadbill
calyptomena hosii,hose's broadbill
calyptomena whiteheadi,whitehead's broadbill
pseudocalyptomena graueri,grauer's broadbill
psarisomus dalhousiae,long-tailed broadbill
corydon sumatranus,dusky broadbill
sarcophanops samarensis,visayan broadbill
sarcophanops steerii,wattled broadbill
serilophus lunatus,silver-breasted broadbill
cymbirhynchus macrorhynchos,black-and-red broadbill
eurylaimus javanicus,banded broadbill
eurylaimus ochromalus,black-and-yellow broadbill
sapayoa aenigma,sapayoa
philepitta castanea,velvet asity
philepitta schlegeli,schlegel's asity
neodrepanis coruscans,common sunbird-asity
neodrepanis hypoxantha,yellow-bellied sunbird-asity
erythropitta kochi,whiskered pitta
erythropitta erythrogaster,blue-breasted pitta
erythropitta caeruleitorques,sangihe pitta
erythropitta palliceps,siau pitta
erythropitta celebensis,sulawesi pitta
erythropitta dohertyi,sula pitta
erythropitta rufiventris,north moluccan pitta
erythropitta rubrinucha,south moluccan pitta
erythropitta macklotii,papuan pitta
erythropitta novaehibernicae,new ireland pitta
erythropitta gazellae,new britain pitta
erythropitta meeki,louisiade pitta
erythropitta venusta,graceful pitta
erythropitta ussheri,black-crowned pitta
erythropitta arquata,blue-banded pitta
erythropitta granatina,garnet pitta
hydrornis phayrei,eared pitta
hydrornis oatesi,rusty-naped pitta
hydrornis nipalensis,blue-naped pitta
hydrornis soror,blue-rumped pitta
hydrornis caeruleus,giant pitta
hydrornis schneideri,schneider's pitta
hydrornis irena,malayan banded-pitta
hydrornis guajanus,javan banded-pitta
hydrornis schwaneri,bornean banded-pitta
hydrornis baudii,blue-headed pitta
hydrornis cyaneus,blue pitta
hydrornis elliotii,bar-bellied pitta
hydrornis gurneyi,gurney's pitta
pitta angolensis,african pitta
pitta reichenowi,green-breasted pitta
pitta brachyura,indian pitta
pitta moluccensis,blue-winged pitta
pitta nympha,fairy pitta
pitta sordida,hooded pitta
pitta steerii,azure-breasted pitta
pitta versicolor,noisy pitta
pitta maxima,ivory-breasted pitta
pitta concinna,ornate pitta
pitta elegans,elegant pitta
pitta vigorsii,banda sea pitta
pitta anerythra,black-faced pitta
pitta megarhyncha,mangrove pitta
pitta superba,superb pitta
pitta iris,rainbow pitta
euchrepomis callinota,rufous-rumped antwren
euchrepomis humeralis,chestnut-shouldered antwren
euchrepomis sharpei,yellow-rumped antwren
cymbilaimus lineatus,fasciated antshrike
cymbilaimus sanctaemariae,bamboo antshrike
hypoedaleus guttatus,spot-backed antshrike
batara cinerea,giant antshrike
mackenziaena leachii,large-tailed antshrike
mackenziaena severa,tufted antshrike
frederickena viridis,black-throated antshrike
frederickena unduliger,undulated antshrike
frederickena fulva,fulvous antshrike
taraba major,great antshrike
sakesphorus canadensis,black-crested antshrike
sakesphorus luctuosus,glossy antshrike
sakesphoroides cristatus,silvery-cheeked antshrike
radinopsyche sellowi,caatinga antwren
biatas nigropectus,white-bearded antshrike
thamnophilus doliatus,barred antshrike
thamnophilus ruficapillus,rufous-capped antshrike
thamnophilus torquatus,rufous-winged antshrike
thamnophilus zarumae,chapman's antshrike
thamnophilus multistriatus,bar-crested antshrike
thamnophilus tenuepunctatus,lined antshrike
thamnophilus palliatus,chestnut-backed antshrike
thamnophilus bernardi,collared antshrike
thamnophilus atrinucha,black-crowned antshrike
thamnophilus bridgesi,black-hooded antshrike
thamnophilus schistaceus,plain-winged antshrike
thamnophilus murinus,mouse-colored antshrike
thamnophilus nigriceps,black antshrike
thamnophilus praecox,cocha antshrike
thamnophilus cryptoleucus,castelnau's antshrike
thamnophilus nigrocinereus,blackish-gray antshrike
thamnophilus punctatus,northern slaty-antshrike
thamnophilus stictocephalus,natterer's slaty-antshrike
thamnophilus sticturus,bolivian slaty-antshrike
thamnophilus pelzelni,planalto slaty-antshrike
thamnophilus ambiguus,sooretama slaty-antshrike
thamnophilus caerulescens,variable antshrike
thamnophilus unicolor,uniform antshrike
thamnophilus aethiops,white-shouldered antshrike
thamnophilus aroyae,upland antshrike
thamnophilus melanonotus,black-backed antshrike
thamnophilus melanothorax,band-tailed antshrike
thamnophilus amazonicus,amazonian antshrike
thamnophilus insignis,streak-backed antshrike
thamnophilus divisorius,acre antshrike
rhopias gularis,star-throated antwren
megastictus margaritatus,pearly antshrike
